iter	Logloss
0	0.6884218618
1	0.6846993641
2	0.6804469617
3	0.6762241967
4	0.6716783758
5	0.6672808011
6	0.6639958225
7	0.6601980356
8	0.6563766295
9	0.6525102959
10	0.6483670389
11	0.6448826719
12	0.6412766765
13	0.6374285579
14	0.6335427364
15	0.6288051592
16	0.6250488596
17	0.6209495017
18	0.6181899277
19	0.6146362095
20	0.6112040783
21	0.6082181681
22	0.6041937893
23	0.6012244603
24	0.5971807773
25	0.5939189633
26	0.5906135043
27	0.586786893
28	0.5834051976
29	0.5797823928
30	0.5776781944
31	0.5752081846
32	0.5724438965
33	0.5707612334
34	0.5674213537
35	0.5642510387
36	0.5621998734
37	0.5606166962
38	0.5581486902
39	0.5555235595
40	0.5527430383
41	0.5511561696
42	0.5483097177
43	0.5453413139
44	0.542507402
45	0.5395103351
46	0.5370887562
47	0.535093942
48	0.5324620994
49	0.5300656933
50	0.5274697695
51	0.5256377012
52	0.5226939207
53	0.5202590008
54	0.5175059975
55	0.5150968722
56	0.513076081
57	0.510601141
58	0.5083896758
59	0.5064677902
60	0.5038610767
61	0.5018346579
62	0.499194971
63	0.4967576255
64	0.4944839407
65	0.4919297785
66	0.4897220062
67	0.4874679997
68	0.4856959755
69	0.4833879133
70	0.4817161331
71	0.4797198841
72	0.4783722713
73	0.4767994712
74	0.4746550778
75	0.4730414994
76	0.4707586488
77	0.4690711863
78	0.4666028945
79	0.4646341967
80	0.4625427637
81	0.460628905
82	0.4587033022
83	0.4576718578
84	0.4564184984
85	0.4547319176
86	0.452807363
87	0.4517428721
88	0.4502672057
89	0.4486611117
90	0.4472515531
91	0.4454880064
92	0.4438721044
93	0.4431040775
94	0.4413443134
95	0.4395735559
96	0.4378321008
97	0.4358835169
98	0.4342623213
99	0.4331924378
100	0.4314598205
101	0.4307200719
102	0.4292806175
103	0.427874359
104	0.4265552776
105	0.4250854357
106	0.4239722185
107	0.4222498898
108	0.4211465953
109	0.4202052118
110	0.4198397541
111	0.4179642772
112	0.4159748884
113	0.4142229151
114	0.4123982726
115	0.4109711802
116	0.4095154237
117	0.4084045419
118	0.4070735384
119	0.4057138451
120	0.404273606
121	0.4025832291
122	0.4014187864
123	0.3998699334
124	0.3986859706
125	0.3983881735
126	0.3973890334
127	0.3964258472
128	0.3952852165
129	0.393494459
130	0.3919449121
131	0.3903188297
132	0.3890456722
133	0.3881590204
134	0.3873008132
135	0.3861825434
136	0.3849518609
137	0.3838706664
138	0.3829817804
139	0.3817104
140	0.3802651672
141	0.3789940407
142	0.3779138341
143	0.3762468198
144	0.3750480256
145	0.3739932273
146	0.3730229935
147	0.3719307118
148	0.3706838841
149	0.3700589749
150	0.3690718612
151	0.3677277614
152	0.3668141811
153	0.3658328002
154	0.3647509668
155	0.3638268441
156	0.3629021807
157	0.3615537732
158	0.3601675871
159	0.3590459417
160	0.358077232
161	0.3569113942
162	0.3561145688
163	0.3550431595
164	0.3539569873
165	0.3526363131
166	0.351905359
167	0.3507183603
168	0.3495326784
169	0.3486015484
170	0.3478077064
171	0.3464456545
172	0.3455119995
173	0.3446285601
174	0.3434681343
175	0.3430162062
176	0.3423742206
177	0.342200312
178	0.3414762279
179	0.3401758902
180	0.3397173221
181	0.3388976947
182	0.3379223578
183	0.3371813053
184	0.3368889645
185	0.3357594676
186	0.3350316458
187	0.3339623104
188	0.3333955102
189	0.3321844184
190	0.3318178757
191	0.3310973578
192	0.33009264
193	0.3293827142
194	0.3287322499
195	0.3276138569
196	0.3268063448
197	0.3259827081
198	0.3250020848
199	0.3246580825
200	0.3238982947
201	0.3230335099
202	0.3218598913
203	0.3211197481
204	0.3207440312
205	0.3199465221
206	0.3191743151
207	0.3183277008
208	0.317578085
209	0.3167502971
210	0.3161682521
211	0.3153324216
212	0.3147977059
213	0.3140383713
214	0.3134156786
215	0.3124250666
216	0.3119031792
217	0.3111628223
218	0.3106289467
219	0.3096439245
220	0.3087571911
